code,postal_old,postal_new,pref_kana,address1_kana,address2_kana,pref,address1,address2,is_multi_code,is_koaza,is_choume,is_multi_place,is_updated,update_reason
46392,89518,8951800,ｶｺﾞｼﾏｹﾝ,ｻﾂﾏｸﾞﾝｻﾂﾏﾁｮｳ,ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ,鹿児島県,薩摩郡さつま町,以下に掲載がない場合,0,0,0,0,0,0
46392,89518,8951801,ｶｺﾞｼﾏｹﾝ,ｻﾂﾏｸﾞﾝｻﾂﾏﾁｮｳ,ﾋﾛｾ,鹿児島県,薩摩郡さつま町,広瀬,0,0,0,0,0,0
46392,89518,8951802,ｶｺﾞｼﾏｹﾝ,ｻﾂﾏｸﾞﾝｻﾂﾏﾁｮｳ,ﾀﾊﾞﾙ,鹿児島県,薩摩郡さつま町,田原,0,0,0,0,0,0
46392,89518,8951803,ｶｺﾞｼﾏｹﾝ,ｻﾂﾏｸﾞﾝｻﾂﾏﾁｮｳ,ﾐﾔﾉｼﾞｮｳﾔﾁ,鹿児島県,薩摩郡さつま町,宮之城屋地,0,0,0,0,0,0
46392,89518,8951804,ｶｺﾞｼﾏｹﾝ,ｻﾂﾏｸﾞﾝｻﾂﾏﾁｮｳ,ﾌﾅｷ,鹿児島県,薩摩郡さつま町,船木,0,0,0,0,0,0
46392,89518,8951805,ｶｺﾞｼﾏｹﾝ,ｻﾂﾏｸﾞﾝｻﾂﾏﾁｮｳ,ｼﾗｵｶﾞﾜ,鹿児島県,薩摩郡さつま町,白男川,0,0,0,0,0,0
46392,89518,8951806,ｶｺﾞｼﾏｹﾝ,ｻﾂﾏｸﾞﾝｻﾂﾏﾁｮｳ,ﾄﾏﾘﾉ,鹿児島県,薩摩郡さつま町,泊野,0,0,0,0,0,0
46392,89518,8951807,ｶｺﾞｼﾏｹﾝ,ｻﾂﾏｸﾞﾝｻﾂﾏﾁｮｳ,ﾋﾗｶﾜ,鹿児島県,薩摩郡さつま町,平川,0,0,0,0,0,0
46392,89518,8951811,ｶｺﾞｼﾏｹﾝ,ｻﾂﾏｸﾞﾝｻﾂﾏﾁｮｳ,ﾄﾗｲ,鹿児島県,薩摩郡さつま町,虎居,0,0,0,0,0,0
46392,89518,8951812,ｶｺﾞｼﾏｹﾝ,ｻﾂﾏｸﾞﾝｻﾂﾏﾁｮｳ,ﾄﾗｲﾏﾁ,鹿児島県,薩摩郡さつま町,虎居町,0,0,0,0,0,0
46392,89518,8951813,ｶｺﾞｼﾏｹﾝ,ｻﾂﾏｸﾞﾝｻﾂﾏﾁｮｳ,ﾄﾄﾞﾛﾏﾁ,鹿児島県,薩摩郡さつま町,轟町,0,0,0,0,0,0
46392,89518,8951814,ｶｺﾞｼﾏｹﾝ,ｻﾂﾏｸﾞﾝｻﾂﾏﾁｮｳ,ｱｻﾋﾏﾁ,鹿児島県,薩摩郡さつま町,旭町,0,0,0,0,0,0
46392,89518,8951815,ｶｺﾞｼﾏｹﾝ,ｻﾂﾏｸﾞﾝｻﾂﾏﾁｮｳ,ﾆｼｼﾝﾏﾁ,鹿児島県,薩摩郡さつま町,西新町,0,0,0,0,0,0
46392,89518,8951816,ｶｺﾞｼﾏｹﾝ,ｻﾂﾏｸﾞﾝｻﾂﾏﾁｮｳ,ﾄｷﾖｼ,鹿児島県,薩摩郡さつま町,時吉,0,0,0,0,0,0
46392,89518,8951817,ｶｺﾞｼﾏｹﾝ,ｻﾂﾏｸﾞﾝｻﾂﾏﾁｮｳ,ﾕﾀﾞ,鹿児島県,薩摩郡さつま町,湯田,0,0,0,0,0,0
