local_government_code,postal_code_5digit,postal_code_7digit,prefecture_kana,address1_kana,address2_kana,prefecture_kanji,address1_kanji,address2_kanji,is_address2_has_multiple_postal_code,is_address2_has_multiple_sublocality,is_address2_includes_chome,is_postal_code_has_multiple_address2,updated_type,updated_reason_type
07546,97914,9791400,ﾌｸｼﾏｹﾝ,ﾌﾀﾊﾞｸﾞﾝﾌﾀﾊﾞﾏﾁ,ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ,福島県,双葉郡双葉町,以下に掲載がない場合,0,0,0,0,0,0
07546,97914,9791401,ﾌｸｼﾏｹﾝ,ﾌﾀﾊﾞｸﾞﾝﾌﾀﾊﾞﾏﾁ,ﾅｶﾉ,福島県,双葉郡双葉町,中野,0,1,0,0,0,0
07546,97914,9791402,ﾌｸｼﾏｹﾝ,ﾌﾀﾊﾞｸﾞﾝﾌﾀﾊﾞﾏﾁ,ﾅｶﾊﾏ,福島県,双葉郡双葉町,中浜,0,1,0,0,0,0
07546,97914,9791411,ﾌｸｼﾏｹﾝ,ﾌﾀﾊﾞｸﾞﾝﾌﾀﾊﾞﾏﾁ,ｺｵﾘﾔﾏ,福島県,双葉郡双葉町,郡山,0,1,0,0,0,0
07546,97914,9791412,ﾌｸｼﾏｹﾝ,ﾌﾀﾊﾞｸﾞﾝﾌﾀﾊﾞﾏﾁ,ﾎｿﾔ,福島県,双葉郡双葉町,細谷,0,1,0,0,0,0
07546,97914,9791421,ﾌｸｼﾏｹﾝ,ﾌﾀﾊﾞｸﾞﾝﾌﾀﾊﾞﾏﾁ,ﾏｴﾀﾞ,福島県,双葉郡双葉町,前田,0,1,0,0,0,0
07546,97914,9791422,ﾌｸｼﾏｹﾝ,ﾌﾀﾊﾞｸﾞﾝﾌﾀﾊﾞﾏﾁ,ﾐｽﾞｻﾜ,福島県,双葉郡双葉町,水沢,0,1,0,0,0,0
07546,97914,9791423,ﾌｸｼﾏｹﾝ,ﾌﾀﾊﾞｸﾞﾝﾌﾀﾊﾞﾏﾁ,ﾒｻｸ,福島県,双葉郡双葉町,目迫,0,1,0,0,0,0
07546,97914,9791431,ﾌｸｼﾏｹﾝ,ﾌﾀﾊﾞｸﾞﾝﾌﾀﾊﾞﾏﾁ,ﾔﾏﾀﾞ,福島県,双葉郡双葉町,山田,0,1,0,0,0,0
07546,97914,9791432,ﾌｸｼﾏｹﾝ,ﾌﾀﾊﾞｸﾞﾝﾌﾀﾊﾞﾏﾁ,ﾏﾂｻﾞｸ,福島県,双葉郡双葉町,松迫,0,1,0,0,0,0
07546,97914,9791433,ﾌｸｼﾏｹﾝ,ﾌﾀﾊﾞｸﾞﾝﾌﾀﾊﾞﾏﾁ,ｲｼｸﾏ,福島県,双葉郡双葉町,石熊,0,1,0,0,0,0
07546,97914,9791441,ﾌｸｼﾏｹﾝ,ﾌﾀﾊﾞｸﾞﾝﾌﾀﾊﾞﾏﾁ,ｼﾓﾊﾄﾘ,福島県,双葉郡双葉町,下羽鳥,0,1,0,0,0,0
07546,97914,9791442,ﾌｸｼﾏｹﾝ,ﾌﾀﾊﾞｸﾞﾝﾌﾀﾊﾞﾏﾁ,ｶﾐﾊﾄﾘ,福島県,双葉郡双葉町,上羽鳥,0,1,0,0,0,0
07546,97914,9791451,ﾌｸｼﾏｹﾝ,ﾌﾀﾊﾞｸﾞﾝﾌﾀﾊﾞﾏﾁ,ｼﾌﾞｶﾜ,福島県,双葉郡双葉町,渋川,0,1,0,0,0,0
07546,97914,9791452,ﾌｸｼﾏｹﾝ,ﾌﾀﾊﾞｸﾞﾝﾌﾀﾊﾞﾏﾁ,ﾏﾂｸﾗ,福島県,双葉郡双葉町,松倉,0,1,0,0,0,0
07546,97914,9791453,ﾌｸｼﾏｹﾝ,ﾌﾀﾊﾞｸﾞﾝﾌﾀﾊﾞﾏﾁ,ﾃﾗｻﾞﾜ,福島県,双葉郡双葉町,寺沢,0,1,0,0,0,0
07546,97914,9791461,ﾌｸｼﾏｹﾝ,ﾌﾀﾊﾞｸﾞﾝﾌﾀﾊﾞﾏﾁ,ﾓﾛﾀｹ,福島県,双葉郡双葉町,両竹,0,1,0,0,0,0
07546,97914,9791462,ﾌｸｼﾏｹﾝ,ﾌﾀﾊﾞｸﾞﾝﾌﾀﾊﾞﾏﾁ,ﾅｶﾀﾞ,福島県,双葉郡双葉町,中田,0,1,0,0,0,0
07546,97914,9791463,ﾌｸｼﾏｹﾝ,ﾌﾀﾊﾞｸﾞﾝﾌﾀﾊﾞﾏﾁ,ｺｳﾉｸｻ,福島県,双葉郡双葉町,鴻草,0,1,0,0,0,0
07546,97914,9791471,ﾌｸｼﾏｹﾝ,ﾌﾀﾊﾞｸﾞﾝﾌﾀﾊﾞﾏﾁ,ﾅｶﾞﾂｶ,福島県,双葉郡双葉町,長塚,0,1,0,0,0,0
07546,97914,9791472,ﾌｸｼﾏｹﾝ,ﾌﾀﾊﾞｸﾞﾝﾌﾀﾊﾞﾏﾁ,ｼﾝｻﾞﾝ,福島県,双葉郡双葉町,新山,0,1,0,0,0,0
